"domain","response","airport"
"163.com","The nearest international airport to the largest campus of 163.com is the Tencent Aviation Airport, with the 3-letter IATA code ""TKA"". ","TKA"
"a-star.edu.sg","The nearest international airport to a-star.edu.sg largest campus is Changi Airport, with the code SIN.","SIN"
"aalto.fi","The nearest international airport to the Aalto University main campus is the Helsinki-Vantaa International Airport (HEL).","HEL"
"ac.jp","The nearest international airport to the ac.jp largest campus is Narita International Airport in Tokyo, Japan, which is represented by the IATA code NRT.","NRT"
"accenture.com","The nearest international airport to the Accenture.com largest campus cannot be determined as the information regarding the campus location is not specified.",""
"adelaide.edu.au","ADL","ADL"
"adobe.com","SJC","SJC"
"affirm.com","The nearest international airport to affirm.com's largest campus is San Francisco International Airport (SFO). So, the requested 3-letter IATA code is SFO.","SFO"
"ai21.com","The nearest international airport to ai21.com's largest campus is SJC (Norman Y. Mineta San Jose International Airport).","SJC"
"aiit.org.cn","PEK","PEK"
"aiwaves.cn","The nearest international airport to aiwaves.cn largest campus is PVG.
","PVG"
"aleph-alpha.com","The nearest international airport to the largest aleph-alpha.com campus is YYZ, which is Toronto Pearson International Airport.","YYZ"
"alibaba-inc.com","PEK (Beijing Capital International Airport)","PEK"
"allenai.org","The nearest international airport to the allenai.org largest campus is the Seattle-Tacoma International Airport with the IATA code SEA.","SEA"
"alleninstitute.org","The nearest international airport to the Allen Institute's largest campus is Seattle-Tacoma International Airport, which has the IATA code SEA.","SEA"
"allianz.de","The nearest international airport to the Allianz.de largest campus does not specify therefore it cannot be determined which airport it is.",""
"alpacaml.com","The international airport nearest to the alpaca ml largest campus would be the San Francisco International Airport (SFO).","SFO"
"altoslabs.com","ORD","ORD"
"amazon.com","SEA","SEA"
"amazon.de","FRA.","FRA"
"amfam.com","MSP","MSP"
"aminer.cn","The nearest international airport to aminer.cn largest campus is BJS.","BJS"
"amss.ac.cn","The international airport nearest to the amss.ac.cn largest campus is the Beijing Capital International Airport with the 3-letter IATA code PEK.","PEK"
"angelalign.com","CAN","CAN"
"anl.gov","The nearest international airport to the largest campus of the Argonne National Laboratory (anl.gov) is Chicago O'Hare International Airport (ORD).","ORD"
"ant.com","The nearest international airport to the ant.com largest campus is ORD, which stands for Chicago O'Hare International Airport.","ORD"
"antfin.com","The nearest international airport to the antfin.com largest campus is Shanghai Pudong International Airport, with the three-letter IATA code PVG.","PVG"
"antgroup.com","The nearest international airport to the antgroup.com largest campus is the Hangzhou Xiaoshan International Airport (HGH).","HGH"
"anthropic.com","The nearest international airport to the anthropic.com largest campus is San Francisco International Airport (SFO), with the IATA code SFO.","SFO"
"anu.edu.au","The nearest international airport to the ANU.edu.au largest campus is the Canberra International Airport, with the IATA code CBR.","CBR"
"apple.com","SJC","SJC"
"arm.com","The three-letter IATA code for the international airport closest to the arm.com largest campus is SJC.","SJC"
"armasuisse.ch","The nearest international airport to the armasuisse.ch largest campus is the Zurich Airport (ZRH).","ZRH"
"army.mil","The 3-letter IATA code for the international airport nearest to the army.mil largest campus would depend on the specific army.mil campus you are referring to. Please provide the location of the campus to get the accurate airport code.",""
"arthur.ai","JFK.","JFK"
"asleep.ai","The nearest international airport to the asleep.ai largest campus is SJC, which is the code for San Jose International Airport.","SJC"
"asu.edu","The nearest international airport to the Arizona State University (ASU) largest campus is Phoenix Sky Harbor International Airport (PHX).","PHX"
"au.dk","The three-letter IATA code for the international airport nearest to the Au.dk largest campus is BLL (Billund Airport).","BLL"
"auburn.edu","The nearest international airport to the Auburn University largest campus is the Birmingham-Shuttlesworth International Airport (BHM).","BHM"
"augmentcode.com","The nearest international airport to the augmentcode.com largest campus is SFO, which is the IATA code for San Francisco International Airport.","SFO"
"aurora.tech","The nearest international airport to Aurora.tech largest campus is SFO (San Francisco International Airport).","SFO"
"baai.ac.cn","The international airport nearest to the largest campus of BAAI.ac.cn is the Xi'an Xianyang International Airport (XIY).","XIY"
"baidu.com","PEK","PEK"
"bas.ac.uk","The nearest international airport to the bas.ac.uk largest campus is the Rothera Research Station (RO5).",""
"bbk.ac.uk","LHR","LHR"
"bc.edu","The nearest international airport to the largest campus of Boston College (bc.edu) is Boston Logan International Airport, with the IATA code BOS.","BOS"
"berkele","The international airport nearest to the Berkeley largest campus is San Francisco International Airport (SFO).","SFO"
"berkeley.edu","The nearest international airport to the largest campus of berkeley.edu is the San Francisco International Airport (SFO).","SFO"
"bgu.ac.il","TLV","TLV"
"bigai.ai","The nearest international airport to the largest campus of bigai.ai is SFO, San Francisco International Airport.","SFO"
"binghamton.edu","The international airport that is nearest to the binghamton.edu largest campus is the Greater Binghamton Airport (BGM).","BGM"
"biogen.com","The closest international airport to the largest campus of Biogen.com is Logan International Airport (BOS).","BOS"
"birentech.com","The nearest international airport to birentech.com's largest campus is JFK (John F. Kennedy International Airport).","JFK"
"bit.edu.cn","PEK","PEK"
"biu.ac.il","The nearest international airport to the largest campus of biu.ac.il is TLV.","TLV"
"bjtu.edu.cn","PEK","PEK"
"bloomberg.com","The nearest international airport to Bloomberg's largest campus is LaGuardia Airport, with the IATA code LGA.","LGA"
"bloomberg.net","LHR is the three-letter IATA code for the nearest international airport to the Bloomberg.net largest campus.","LHR"
"bnl.gov","The nearest international airport to the largest campus of bnl.gov is JFK - John F. Kennedy International Airport.","JFK"
"bnu.edu.cn","PEK","PEK"
"borealisai.com","CDG","CDG"
"bosch-ai.com","The nearest international airport to the bosch-ai.com largest campus is Stuttgart International Airport (STR).","STR"
"bosch.com","The nearest international airport to the largest Bosch campus is STU, which refers to the Stuttgart Airport.","STU"
"boson.ai","The nearest international airport to the boson.ai largest campus is BOS, which is the IATA code for Logan International Airport in Boston, Massachusetts, United States.","BOS"
"bostondynamics.com","The nearest international airport to the bostondynamics.com largest campus is BOS, which is the IATA code for Boston Logan International Airport.","BOS"
"brandeis.edu","The international airport nearest to Brandeis University's largest campus is Boston Logan International Airport (BOS).","BOS"
"brave.com","JFK - which stands for John F. Kennedy International Airport - is the closest international airport to the Brave.com largest campus.","JFK"
"bristol.ac.uk","The three-letter IATA code for the international airport nearest to the largest campus of University of Bristol is BRS, the code for Bristol Airport.","BRS"
"brown.edu","PVD","PVD"
"btbu.edu.cn","The nearest international airport to the largest campus of btbu.edu.cn is the Beijing Capital International Airport with the 3-letter IATA code: PEK.","PEK"
"bu.edu","BOS","BOS"
"buaa.edu.cn","The international airport that is nearest to the BUAA.edu.cn largest campus is the PEK Airport in Beijing, China. The 3-letter IATA code is PEK.","PEK"
"buct.edu.cn","PEK","PEK"
"buffalo.edu","The nearest international airport to the largest campus of buffalo.edu is the Buffalo Niagara International Airport, with the IATA code BUF.","BUF"
"bupt.edu","PEK","PEK"
"bupt.edu.cn","PEK","PEK"
"byjus.com","The nearest international airport to the byjus.com largest campus is the BQS airport.","BQS"
"bytedance.com","PEK- Beijing Capital International Airport","PEK"
"byu.edu","The nearest international airport to the BYU (Brigham Young University – Provo) campus is the Salt Lake City International Airport. The 3-letter IATA code for this airport is SLC.","SLC"
"caltech.edu","LAX.","LAX"
"cam.ac.uk","LHR.","LHR"
"capitalone.com","The nearest international airport to the largest capitalone.com campus is Washington Dulles International Airport, with the 3-letter IATA code IAD.","IAD"
"carleton.ca","The nearest international airport to the Carleton University campus in Ottawa, Canada is Ottawa International Airport (YOW).","YOW"
"cas.cn","The 3-letter IATA code of the international airport nearest to the large campus of the cas.cn is PEK.","PEK"
"case.edu","The nearest international airport to the largest campus of case.edu is Cleveland Hopkins International Airport (CLE).","CLE"
"cau.edu.cn","PEK","PEK"
"cea.fr","The international airport nearest to CEA.fr's largest campus is CDG.","CDG"
"centai.eu","The nearest international airport to the centai.eu largest campus is IDS.","IDS"
"centralesupelec.fr","The international airport nearest to centralesupelec.fr largest campus is CDG.","CDG"
"cern.ch","The nearest international airport to the CERN.ch largest campus is the Geneva Airport, also known as Genève Aéroport. Its 3-letter IATA code is GVA.","GVA"
"ceva.co.il","The nearest international airport to the largest campus of Ceva, situated in Rehovot, Israel, is the TLV - Ben Gurion International Airport.","TLV"
"chalmers.se","GOT","GOT"
"chaocanshu.ai","SSQ","SSQ"
"chiplego.com","SJC","SJC"
"chubu.ac.jp","The nearest international airport to the chubu.ac.jp largest campus is NGO.","NGO"
"cisco.com","The nearest international airport to Cisco.com's largest campus is San Jose International Airport (SJC).","SJC"
"cispa.de","The nearest international airport to the CISPA.de largest campus is the Saarbrücken Airport (SCN).","SCN"
"cispa.saarland","The international airport nearest to the largest CISPA.saarland campus is Frankfurt Airport (FRA).","FRA"
"cityu.edu.hk","The international airport nearest to the cityu.edu.hk largest campus is the Hong Kong International Airport (HKG).","HKG"
"cityu.edu.mo","The nearest international airport to the cityu.edu.mo largest campus is the Macau International Airport (MFM).","MFM"
"clemson.edu","GSP is the three-letter IATA code for the nearest international airport to the Clemson University largest campus.","GSP"
"cmu.edu","PIT","PIT"
"cnrs.fr","The nearest international airport to the largest campus of CNRS.fr is the Toulouse Blagnac Airport, with the IATA code TLS.","TLS"
"coding.bio","The nearest international airport to the coding.bio largest campus is the Los Angeles International Airport, which has the IATA code LAX.","LAX"
"cohere.com","The nearest international airport to the largest campus of cohere.com is the (JFK) John F. Kennedy International Airport.","JFK"
"coinbase.com","The nearest international airport to the Coinbase.com largest campus is SJC (Norman Y. Mineta San Jose International Airport).","SJC"
"college-de-france.fr","The nearest international airport to College de France's largest campus is the Charles de Gaulle Airport with the IATA code CDG.","CDG"
"colorado.edu","The nearest international airport to the University of Colorado Boulder's largest campus is Denver International Airport (DEN).","DEN"
"columbia.edu","The nearest international airport to the columbia.edu largest campus is the John F. Kennedy International Airport (JFK).","JFK"
"concordia.ca","The international airport nearest to the largest campus of concordia.ca is the Montreal-Pierre Elliott Trudeau International Airport (YUL).","YUL"
"conjecture.com","There is no specific campus mentioned for conjecture.com, hence it is not possible to ascertain the nearest international airport without further information.",""
"cornell.edu","The nearest international airport to Cornell University's largest campus in Ithaca, NY is the Syracuse Hancock International Airport (SYR).","SYR"
"covariant.ai","The nearest international airport to Covariant.AI's largest campus is SFO, which stands for San Francisco International Airport.","SFO"
"cqu.edu.cn","The 3-letter IATA code for the international airport nearest to the cqu.edu.cn largest campus is CKG, which stands for Chongqing Jiangbei International Airport.","CKG"
"criteo.com","The nearest international airport to the criteo.com largest campus is Paris Charles de Gaulle Airport, code CDG.","CDG"
"cs.tsukuba.ac.jp","NRT","NRT"
"cs.utxas.edu","The international airport closest to the cs.utexas.edu largest campus is the Austin-Bergstrom International Airport (AUS).","AUS"
"csiro.au","The closest international airport to the largest CSIRO campus in cheese prot.google.com.sig.au is BNE (Brisbane Airport).","BNE"
"csu.edu.cn","The nearest international airport to the largest campus of csu.edu.cn is the Changsha Huanghua International Airport (CSX).","CSX"
"csust.edu.cn","The nearest international airport to the largest campus of csust.edu.cn is the Zhengzhou Xinzheng International Airport (CGO).","CGO"
"cuc.edu.cn","The international airport nearest to the cuc.edu.cn largest campus is Beijing Capital International Airport (PEK).","PEK"
"cuhk.edu.cn","HKG (Hong Kong International Airport) is the airport closest to the largest campus of cuhk.edu.cn.","HKG"
"cuhk.edu.hk","The nearest international airport to the cuhk.edu.hk largest campus is Hong Kong International Airport with the IATA code HKG.","HKG"
"cuny.edu","The John F. Kennedy International Airport (JFK) is the nearest international airport to the largest campus of cuny.edu.","JFK"
"cyi.ac.cy","The nearest international airport to the largest campus of cyi.ac.cy is LCA.","LCA"
"d-itlab.co.jp","The international airport nearest to d-itlab.co.jp largest campus is The Chubu Centrair International Airport, located in Nagoya, Japan, with the IATA code NGO.","NGO"
"daisy.id","I'm sorry, but I don't have access to specific information about daisy.id or its largest campus.",""
"dal.ca","The nearest international airport to the dal.ca largest campus is Halifax Stanfield International Airport.  Its 3-letter IATA code is YHZ.","YHZ"
"dartmouth.edu","The 3-letter IATA code for the nearest international airport to the largest campus of dartmouth.edu is BOS (Boston Logan International Airport).","BOS"
"datakalab.com","The nearest international airport to the datakalab.com largest campus would likely be the Charles de Gaulle Airport in Paris, France.
The IATA code for Charles de Gaulle Airport is CDG.","CDG"
"dauphine.fr","The nearest international airport to the largest campus of dauphine.fr university is ORY, also known as Paris Orly Airport.","ORY"
"deakin.edu.au","The international airport nearest to Deakin University's largest campus in Victoria, Australia is Melbourne Airport. The IATA code for Melbourne Airport is MEL.","MEL"
"deci.ai","I'm sorry, but currently, there is no information available about the location or proximity to an airport for the deci.ai largest campus.",""
"deepbrainai.io","The nearest international airport to the DeepBrainAI.io largest campus would be the San Francisco International Airport, with the IATA code SFO.","SFO"
"deepcake.io","The nearest international airport to the largest campus of deepcake.io is Chicago O'Hare International Airport (ORD). The 3-letter IATA code for O'Hare International Airport is ORD. ","ORD"
"deepglint.com","PEK","PEK"
"deepjudge.ai","The international airport nearest to deepjudge.ai's largest campus is SJC (San Jose International Airport)","SJC"
"deepmind.com","The nearest international airport to the DeepMind largest campus in London, United Kingdom is London Heathrow Airport. The airport code is LHR.","LHR"
"dhu.edu.cn","PEK","PEK"
"didichuxing.com","The nearest international airport to the didichuxing.com largest campus is the Beijing Capital International Airport, with the IATA code PEK.","PEK"
"didiglobal.com","PEK","PEK"
"diku.dk","The nearest international airport to the largest campus of the University of Copenhagen (diku.dk) is the Copenhagen Airport located in Copenhagen, Denmark. Its IATA code is CPH.","CPH"
"dkfz-heidelberg.de","FRA","FRA"
"dkfz.de","FRA","FRA"
"dlut.edu.cn","The nearest international airport to the dlut.edu.cn largest campus is Dalian Zhoushuizi International Airport (DLC).","DLC"
"docta.ai","The international airport nearest to the docta.ai largest campus is JFK (John F. Kennedy International Airport).","JFK"
"dp.tech","The nearest international airport to the dp.tech campus is the San Francisco International Airport (SFO). Its IATA code is SFO.","SFO"
"dtu.ac.in","The nearest international airport to the DTU largest campus, which is the Delhi Technological University, is the Indira Gandhi International Airport (DEL).","DEL"
"dtu.dk","The nearest international airport to dtu.dk largest campus is CPH (Copenhagen Airport) in Denmark.","CPH"
"duke.edu","The international airport nearest to the largest campus of Duke University (duke.edu) is Raleigh-Durham International Airport (RDU). The corresponding 3-letter IATA code for Raleigh-Durham International Airport is RDU.","RDU"
"dyson.com","The nearest international airport to the Dyson.com largest campus is the Bristol Airport with the 3-letter IATA code ""BRS"".","BRS"
"ecnu.edu.cn","The nearest international airport to the largest campus of East China Normal University (ecnu.edu.cn) is Shanghai Pudong International Airport, with the IATA code PVG.","PVG"
"ed.ac.uk","EDI","EDI"
"edu.cn","The 3-letter IATA code for the international airport closest to the largest campus of the edu.cn domain is PEK, for the Beijing Capital International Airport.","PEK"
"ehess.fr","The nearest international airport to the largest campus of EHESS is the Orly Airport with the IATA code ORY.","ORY"
"emory.edu","ATL","ATL"
"engineering","The nearest international airport to the engineering largest campus is LAX, which is the international airport code for Los Angeles International Airport in the United States.","LAX"
"enpc.fr","CDG","CDG"
"ens-lyon.fr","LYS","LYS"
"ens-paris-saclay.fr","CDG","CDG"
"ens.fr","ORY","ORY"
"ensae.fr","The nearest international airport to the ENSAE.fr largest campus is ORY (Paris Orly Airport).","ORY"
"ensai.fr","The international airport nearest to the largest campus of ensai.fr is the Rennes-Saint-Jacques Airport. The 3-letter IATA code for Rennes-Saint-Jacques Airport is RNS.","RNS"
"ensta-paristech.fr","The nearest international airport to the largest campus of ENSTA ParisTech is Paris Orly Airport. The IATA code for Paris Orly Airport is ORY.","ORY"
"epfl.ch","The nearest international airport to the EPFL (École polytechnique fédérale de Lausanne) largest campus is the Geneva Airport (GVA). Its IATA code is GVA.","GVA"
"espci.fr","The international airport nearest to the largest campus of espci.fr is Paris-Charles de Gaulle Airport (CDG).","CDG"
"ethz.ch","ZRH - Zurich Airport","ZRH"
"etri.re.kr","The nearest international airport to the etri.re.kr largest campus is Seoul Incheon International Summary Airport (ICN).","ICN"
"etsmtl.ca","The nearest international airport to the etsmtl.ca largest campus is YUL, which refers to the Montreal-Trudeau International Airport.","YUL"
"ewha.ac.kr","The international airport nearest to the Ewha.ac.kr largest campus is the Incheon International Airport (ICN).","ICN"
"exxonmobil.com","The international airport nearest to the largest ExxonMobil campus is Houari Boumediene Airport (ALG).
","ALG"
"eyecan.ai","The nearest international airport to the eyecan.ai largest campus is SIN, which stands for Singapore Changi Airport.","SIN"
"facebook.com","SJC","SJC"
"fau.de","NUE","NUE"
"fb.com","The nearest international airport to the largest campus of fb.com is SFO, international airport of San Francisco.","SFO"
"fchampalimaud.org","The nearest international airport to the fchampalimaud.org largest campus is Lisbon Portela Airport (LIS).","LIS"
"feedzai.com","The nearest international airport to the feedzai.com largest campus is LIS, which is the IATA code for Lisbon Portela Airport in Lisbon, Portugal.","LIS"
"flatironinstitute.org","JFK","JFK"
"forth.gr","The nearest international airport to the forth.gr largest campus is HER, which is the 3-letter IATA code for Heraklion International Airport, located in Crete, Greece.","HER"
"foxmail.com","The nearest international airport to the largest campus of foxmail.com is the Wuhan Tianhe International Airport, with the IATA code of WUH.","WUH"
"fraunhofer.de","The nearest international airport to fraunhofer.de's largest campus is MUC, which is the IATA code for Munich Airport in Germany.","MUC"
"fu-berlin.de","The international airport nearest to the largest campus of Freie Universität Berlin (fu-berlin.de) is Berlin Tegel Airport (TXL).","TXL"
"fudan.edu","The nearest international airport to Fudan University Quadrangle Campus is Pudong International Airport (PVG).","PVG"
"fudan.edu.cn","PVG (Shanghai Pudong International Airport)","PVG"
"fujitsu.com","The nearest international airport to the Fujitsu.com largest campus is Tokyo Haneda Airport (HND).","HND"
"fzi.de","The international airport nearest to the fzi.de largest campus is the Frankfurt Airport (FRA).","FRA"
"gatech.edu","The nearest international airport to Georgia Tech's largest campus, gatech.edu, is Hartsfield-Jackson Atlanta International Airport. Its IATA code is ATL.","ATL"
"ge.com","The nearest international airport to GE.com's largest campus is General Mitchell International Airport (MKE), located in Milwaukee, Wisconsin, USA.","MKE"
"gene.com","SFO (San Francisco International Airport) is the nearest international airport to the Genentech (gene.com) largest campus.","SFO"
"getcruise.com","The nearest international airport to getcruise.com's largest campus is SFO, which stands for San Francisco International Airport.","SFO"
"gist.ac.kr","ICN","ICN"
"glasgow.ac.uk","The nearest international airport to the University of Glasgow largest campus is Glasgow International Airport (GLA).","GLA"
"gmail.com","The nearest international airport to the largest campus of gmail.com is SFO (San Francisco International Airport).","SFO"
"gmu.edu","The international airport nearest to the GMU.edu largest campus in Fairfax, Virginia is Dulles International Airport with the IATA code IAD.","IAD"
"google.com","SJC (San Jose International Airport) is the nearest international airport to the Google.com largest campus.","SJC"
"gsu.edu","ATL","ATL"
"habana.ai","The nearest international airport to habana.ai largest campus is José Martí International Airport (HAV).","HAV"
"hanyang.ac.kr","IC]]",""
"harvard.edu","The nearest international airport to Harvard University's largest campus is Boston Logan International Airport (BOS).","BOS"
"hazy.com","Sab          
Sab Notko Maxkerboa blastganese fifth findingb           
TRI","TRI"
"hbs.edu","BOS","BOS"
"hcmus.edu.vn","SGN","SGN"
"hebust.edu.cn","The nearest international airport to the heavyweight champions hbus.twitter campus is SID, Sal International Airport.","SID"
"hec.ca","The three-letter IATA code for the international airport nearest to HEC Montreal's largest campus is YUL.","YUL"
"helixon.com","The nearest international airport to helixon.com's largest campus is BOS, inc140 miles.","BOS"
"helmholtz-muenchen.de","The Nearest international airport to helmholtz-muenchen.de largest campus is the Munich Airport (MUC).","MUC"
"helmholtz-munich.de","The nearest international airport to the helmholtz-munich.de largest campus is Munich Airport, which has the IATA code MUC.","MUC"
"helsing.ai","HEL","HEL"
"helsinki.fi","The international airport nearest to the largest campus of Helsinki University is HEL, Helsinki-Vantaa Airport.","HEL"
"hfut.edu","SHA","SHA"
"hisilicon.com","The nearest international airport to the Hisilicon.com largest campus is the Hongqiao International Airport (SHA).","SHA"
"hit.edu.cn","PEK","PEK"
"hkbu.edu.hk","The nearest international airport to the largest campus of hkbu.edu.hk is the Hong Kong International Airport (HKG).","HKG"
"hku.hk","HKIA",""
"hkust-gz.edu.cn","The international airport nearest to the hkust-gz.edu.cn largest campus is the Guangzhou Baiyun International Airport (CAN).","CAN"
"hkust.edu","HKG","HKG"
"hmc.edu","The international airport nearest to Harvey Mudd College's largest campus is the Ontario International Airport (ONT). The 3-letter IATA code for Ontario International Airport is ONT.","ONT"
"hnu.edu.cn","The nearest international airport to the largest campus of hnu.edu.cn is the Changsha Huanghua International Airport (CSX).","CSX"
"hochschule-rhein-waal.de","DUS (Düsseldorf Airport)","DUS"
"hokudai.ac.jp","Not considering sub-airports within metropolitan survey areas, the nearest international airport to the hokudai.ac.jp largest campus is CTS, which is the code for the New Chitose Airport located near the city of Sapporo, Hokkaido, Japan.","CTS"
"horizon.ai","The nearest international airport to horizon.ai largest campus is SJC - Norman Y. Mineta San Jose International Airport.","SJC"
"hpi.de","The 3-letter IATA code for the international airport nearest to the hpi.de largest campus is SXF (Berlin Brandenburg Airport).","SXF"
"hswt.de","The nearest international airport to the hswt.de largest campus is the Munich International Airport, with the IATA code MUC.","MUC"
"huawei.com","SZX","SZX"
"huggingface.co","The international airport that is nearest to the Hugging Face Co largest campus is the ""JFK"" airport, which is located near New York City.","JFK"
"huji.ac.il","The international airport nearest to the largest campus of huji.ac.il is Ben-Gurion Airport (TLV).","TLV"
"hust.edu","Kansas City International Airport
Code: MCI","MCI"
"hust.edu.cn","PEK","PEK"
"huya.com","The nearest international airport to huya.com's largest campus, according to official information, is Guangzhou Baiyun International Airport, with the IATA code CAN.","CAN"
"ia.ac.cn","The nearest international airport to the largest campus of ia.ac.cn is the Beijing Capital International Airport, with the IATA code PEK.","PEK"
"iambic.ai","PXM","PXM"
"ias.edu","SFO is the three-letter IATA code for the San Francisco International Airport, the nearest international airport to the IAS.edu's largest campus.","SFO"
"ibingli.com","Orlando International Airport (MCO) would be the nearest international airport to the largest campus of ibingli.com.
","MCO"
"ibm.com","The international airport nearest to the ibm.com largest campus is BOS - Boston Logan International Airport.","BOS"
"ic.ac.uk","LHR","LHR"
"icmat.es","The nearest international airport to the icmat.es largest campus is Adolfo Suárez Madrid–Barajas Airport (MAD).","MAD"
"icode-lab.com","The nearest international airport to the largest campus of icode-lab.com is IAH, which stands for George Bush Intercontinental Airport.","IAH"
"ict.ac.cn","The international airport nearest to the largest campus of ict.ac.cn is the Beijing Capital International Airport with the 3-letter IATA code PEK.","PEK"
"idea.edu","The nearest international airport to the idea.edu largest campus is LAX.","LAX"
"idea.edu.cn","The nearest international airport to the idea.edu.cn largest campus is Beijing Capital International Airport (PEK).","PEK"
"ideas-ncbr.pl","The nearest international airport to ideas-ncbr.pl largest campus is Warsaw Chopin Airport, commonly known by its airport code ""WAW"".","WAW"
"idiap.ch","The international airport that is nearest to idiap.ch's largest campus is GVA, which is Geneva International Airport.","GVA"
"ie.cuhk.edu","The international airport that is closest to the largest campus of the Chinese University of Hong Kong (IE.CUHK.EDU) is Hong Kong International Airport (HKG).","HKG"
"iiit.ac.in","RGI","RGI"
"iiitd.ac.in","DEL","DEL"
"iisc.ac.in","BLR","BLR"
"iit.edu","The international airport closest to the largest campus of IIT.edu is the O'Hare International Airport with the IATA code ORD.","ORD"
"iitb.ac.in","BOM","BOM"
