"domain","response","airport"
"siat.ac.cn","The nearest international airport to the Siat.ac.cn largest campus is the Shenzhen Bao'an International Airport, with the IATA code SZX.","SZX"
"siemens.com","FRA","FRA"
"simonsfoundation.org","The nearest international airport to the Simons Foundation's largest campus is JFK - John F. Kennedy International Airport.","JFK"
"sinica.edu.tw","The nearest international airport to the sinica.edu.tw largest campus is TPE (Taiwan Taoyuan International Airport).","TPE"
"sintef.com","The nearest international airport to the Sintef.com largest campus is Trondheim Airport, Værnes, which has the IATA code ""TRD"".","TRD"
"sjtu.edu","The nearest international airport to the sjtu.edu largest campus is PVG, referring to Shanghai Pudong International Airport.","PVG"
"sjtu.edu.cn","SHA","SHA"
"skolkovotech.ru","The nearest international airport to the skolkovotech.ru largest campus is the Sheremetyevo International Airport with the IATA code SVO.","SVO"
"skoltech.ru","Domodedovo International Airport (DME) would be the nearest airport to the largest campus of skoltech.ru.","DME"
"smu.edu.sg","SIN","SIN"
"snap.com","The nearest international airport to snap.com's largest campus is the Los Angeles International Airport. Its 3-letter IATA code is LAX.","LAX"
"snapchat.com","The nearest international airport to the largest Snapchat campus in Santa Monica, California, is the Los Angeles International Airport (LAX). The IATA code for LAX is ""LAX.""","LAX"
"snorkel.ai","BOS","BOS"
"snu.ac.kr","Incheon International Airport (ICN) is the nearest international airport to the largest campus of snu.ac.kr.","ICN"
"sony.com","The nearest airport to the largest Sony.com campus is the Los Angeles International Airport, the IATA code is LAX.","LAX"
"sorbonne-universite.fr","The nearest international airport to the Sorbonne Université's largest campus would be the Paris Charles de Gaulle Airport (CDG).","CDG"
"spbu.ru","The nearest international airport to the spbu.ru largest campus is the Pulkovo Airport (LED) in Saint Petersburg, Russia.","LED"
"squareup.com","SFO","SFO"
"sribd.cn","The nearest international airport to the Scribd.cn largest campus is the San Francisco International Airport (SFO). The IATA code is SFO.","SFO"
"ssu.ac.kr","The nearest international airport to the largest campus of ssu.ac.kr is Incheon International Airport (ICN).","ICN"
"stability.ai","The nearest international airport to stability.ai largest campus is SFO, which stands for San Francisco International Airport.","SFO"
"stanford.edu","SFO.","SFO"
"stevens.edu","The nearest international airport to Stevens Institute of Technology's largest campus is Newark Liberty International Airport (EWR).","EWR"
"stonybrook.edu","ISP","ISP"
"sufe.edu","The nearest international airport to the sufe.edu largest campus is Shanghai Pudong International Airport (PVG). (IATA code: PVG)","PVG"
"supaero.fr","The 3-letter IATA code for the international airport nearest to the supaero.fr largest campus is TLS.","TLS"
"supertone.ai","SFO","SFO"
"surrey.ac.uk","The nearest international airport to Surrey.ac.uk largest campus is London Heathrow Airport. The three-letter IATA code for London Heathrow Airport is LHR.","LHR"
"sustc.edu.cn","The international airport that is nearest to the largest campus of SUSTC in Shenzhen is Shenzhen Bao'an International Airport. The 3-letter IATA code is SZX.","SZX"
"sustech.edu.cn","The nearest international airport to the largest campus of Shenzhen SUSTech (sustech.edu.cn) is Shenzhen Bao'an International Airport (SZX). The IATA code for Shenzhen Bao'an International Airport is SZX.","SZX"
"sutd.edu.sg","The international airport nearest to the SUTD.edu.sg largest campus is the Singapore Changi Airport with the 3-letter IATA code SIN.","SIN"
"swjtu.edu.cn","The international airport that is nearest to the largest campus of Southwest Jiaotong University is the Chengdu Shuangliu International Airport (CTU).","CTU"
"sydney.edu.au","The international airport nearest to the sydney.edu.au largest campus is the Sydney Kingsford Smith Airport. The 3-letter IATA code for this airport is SYD.","SYD"
"syr.edu","The nearest international airport to the Syracuse University's largest campus is Syracuse Hancock International Airport.",""
"sysu.edu.cn","The nearest international airport to SYSU.edu.cn largest campus is the Guangzhou Baiyun International Airport in Guangzhou, China, with the IATA code CAN.","CAN"
"szu.edu.cn","The nearest international airport to the szu.edu.cn largest campus is Shenzhen Bao'an International Airport (SZX). Therefore, the 3-letter IATA code is SZX.","SZX"
"tamu.edu","The nearest international airport to the largest campus of Texas A&M University (tamu.edu) is the Easterwood Airport (CLL) situated in College Station, United States.","CLL"
"tau.ac.il","The nearest international airport to the largest campus of tau.ac.il is Ben Gurion Airport (TLV).","TLV"
"tau.post.ac.il","The nearest international airport to the tau.post.ac.il largest campus in Tel Aviv is Ben Gurion Airport (TLV).","TLV"
"technion.ac.il","The nearest international airport to the largest technion.ac.il campus is Ben Gurion Airport (TLV).","TLV"
"telecom-paris.fr","The closest international airport to the largest campus of telecom-paris.fr is the Charles de Gaulle Airport (CDG).","CDG"
"telecom-paristech.fr","CDG","CDG"
"tencent.com","The international airport nearest to the Tencent.com largest campus is the SZX - Shenzhen Bao'an International Airport.","SZX"
"thehive.ai","The nearest international airport to thehive.ai largest campus is SEA, which is the code for Seattle-Tacoma International Airport in the United States.","SEA"
"thirdai.com","The nearest international airport to the the thirdai.com largest campus would depend on the location of the campus. Please provide the city or the campus location to determine the nearest international airport.",""
"tii.ae","DXB (Dubai International Airport)","DXB"
"titech.ac.jp","HND","HND"
"tju.edu.cn","Tianjin Binhai International Airport (TSN) is the nearest international airport to the largest campus of Tianjin University (tju.edu.cn).","TSN"
"tokyo.ac.jp","The international airport nearest to the tokyo.ac.jp largest campus in Tokyo is Haneda Airport, with the IATA code HND.","HND"
"tongji.edu.cn","The international airport nearest to Tongji University's largest campus in China is Shanghai Pudong International Airport (PVG).","PVG"
"topazlabs.com","The nearest international airport to the topazlabs.com largest campus is San José International Airport (SJC).","SJC"
"toronto.edu","YYZ","YYZ"
"toyota.com","The nearest international airport to the largest Toyota campus is the DFW Airport, with the 3-letter IATA code of DFW.","DFW"
"tri.global","The nearest international airport to the tri.global largest campus would be the Los Angeles International Airport (LAX). Its 3-letter IATA code is ""LAX"".","LAX"
"tse-fr.eu","The nearest international airport to the tse-fr.eu largest campus is TLS, which is the IATA code for Toulouse-Blagnac Airport.","TLS"
"tsinghua.edu.cn","PEK","PEK"
"tsinghua.org.cn","The nearest international airport to the Tsinghua University campus is Beijing Capital International Airport, with the IATA code PEK.","PEK"
"tslsmart.com","LAX","LAX"
"ttic.edu","The nearest international airport to ttic.edu's largest campus is Chicago O'Hare International Airport (ORD). The 3-letter IATA code for Chicago O'Hare International Airport is ORD.","ORD"
"tu-berlin.de","TXL","TXL"
"tu-darmstadt.de","FRA","FRA"
"tu-dortmund.de","The international airport nearest to the largest campus of TU Dortmund University is DUS, which is Düsseldorf Airport.","DUS"
"tu-dresden.de","The nearest international airport to the largest campus of TU Dresden is Dresden International Airport (DRS).","DRS"
"tudelft.nl","The nearest international airport to the largest campus of tudelft.nl is ""
ROT"" (Rotterdam The Hague Airport), with the IATA code being ""RTM"".","RTM"
"tue.nl","The nearest international airport to tue.nl largest campus is Eindhoven Airport. Its 3-letter IATA code is EIN.","EIN"
"tugraz.at","VIE","VIE"
"tum.de","The nearest international airport to the tum.de largest campus is MUC, which is the IATA code for Munich Airport.","MUC"
"turing.ac.uk","The nearest international airport to the turing.ac.uk largest campus is LHR, which is the IATA code for London Heathrow Airport.","LHR"
"tuwien.ac.at","VIE","VIE"
"twitter.com","SFO","SFO"
"tyut.edu.cn","The nearest international airport to tyut.edu.cn largest campus is the Taiyuan Wusu International Airport. Its 3-letter IATA code is TYN.","TYN"
"u-tokyo.ac.jp","The nearest international airport to the largest campus of the University of Tokyo (u-tokyo.ac.jp) is Narita International Airport (NRT). (IATA code: NRT)","NRT"
"uab.es","The nearest international airport to the largest campus of UAB, located in Barcelona, Spain, is Barcelona-El Prat Airport (BCN).","BCN"
"ualberta.ca","The nearest international airport to the University of Alberta's largest campus is the Edmonton International Airport (YEG).","YEG"
"uam.es","The nearest international airport to the largest campus of uam.es is the Adolfo Suárez Madrid-Barajas Airport (MAD).","MAD"
"uantwerpen.be","BRU","BRU"
"ubc.ca","The international airport nearest to the largest campus of ubc.ca is YVR - Vancouver International Airport.","YVR"
"uber.com","SJC","SJC"
"ubisoft.com","CDG","CDG"
"uc.pt","LIS","LIS"
"uca.fr","The nearest international airport to the largest campus of UCA.fr is the Cannes-Mandelieu Airport, with the IATA code of ""CEQ"".","CEQ"
"ucas.ac.cn","The nearest international airport to the largest campus of ucas.ac.cn is the Beijing Capital International Airport (PEK).","PEK"
"ucas.edu.cn","PEK","PEK"
"ucdavis.edu","The nearest international airport to the largest campus of UC Davis is Sacramento International Airport (SMF).","SMF"
"ucf.edu","MCO","MCO"
"uchicago.edu","The nearest international airport to the University of Chicago's largest campus is Chicago O'Hare International Airport (ORD)(code: ORD).","ORD"
"uci.edu","SNA (John Wayne Airport)","SNA"
"ucl.ac.uk","LHR - London Heathrow Airport","LHR"
"ucla.edu","LAX","LAX"
"uconn.edu","BDL","BDL"
"ucr.edu","The nearest international airport to the ucr.edu largest campus is the Ontario International Airport (ONT) in Ontario, California, United States.","ONT"
"ucsb.edu","SNA (John Wayne Airport) is the nearest international airport to the largest UCSB campus at ucsb.edu.","SNA"
"ucsc.edu","SJC (San Jose International Airport) is the nearest international airport to the largest campus of ucsc.edu.","SJC"
"ucsd.edu","The international airport nearest to UCSD's largest campus is San Diego International Airport (SAN). The IATA code is SAN.","SAN"
"ucsf.edu","SFO is the nearest international airport to the largest campus of ucsf.edu, the 3-letter IATA code for SFO is the code for the San Francisco International Airport.","SFO"
"uct.ac.za","CPT","CPT"
"udel.edu","The three-letter IATA code for the nearest international airport to the udel.edu largest campus, the University of Delaware, is PHL, which refers to the Philadelphia International Airport.","PHL"
"udo.edu","The international airport nearest to the udo.edu largest campus is the Hartsfield-Jackson Atlanta International Airport. Its IATA code is ATL.","ATL"
"uestc.edu","CTU","CTU"
"uestc.edu.cn","The nearest international airport to the uestc.edu.cn largest campus is the Chengdu Shuangliu International Airport (CTU).","CTU"
"uga.edu","ATL","ATL"
"ugent.be","The nearest international airport to the largest campus of UGent.be is Brussels Airport (BRU).","BRU"
"uh.edu","IAH.","IAH"
"uibk.ac.at","The nearest international airport to the largest campus of the University of Innsbruck (uibk.ac.at) is the Innsbruck Kranebitten Airport (INN).","INN"
"uic.edu","The nearest international airport to the largest campus of uic.edu is the O'Hare International Airport which has the 3-letter IATA code of ORD.","ORD"
"uio.no","The international airport nearest to the largest campus of the University of Oslo (uio.no) is Oslo Airport, also known as Oslo Airport (Gardermoen) (OSL).","OSL"
"uiuc.edu","ORD (Chicago O'Hare International Airport)","ORD"
"uj.edu.pl","WAW.","WAW"
"uk-essen.de","LHR (London Heathrow Airport) is the nearest international airport to the UK-Essen.de largest campus.","LHR"
"ulaval.ca","YQB","YQB"
"um.mo.edu","MFM","MFM"
"umac.mo","The nearest international airport to the largest campus of UM University is the Macau International Airport (MFM).","MFM"
"umass.edu","BOS","BOS"
"umbc.edu","The nearest international airport to the largest campus of umbc.edu is the Baltimore/Washington International Thurgood Marshall Airport (BWI). Its IATA code is BWI.","BWI"
"umd.edu","The international airport nearest to the UMD.edu largest campus is Washington Dulles International Airport (IAD).","IAD"
"umich.edu","DTW","DTW"
"umkc.edu","MCI","MCI"
"umn.edu","The nearest international airport to the largest campus of umn.edu is Minneapolis−St. Paul International Airport. The IATA code for this airport is MSP.","MSP"
"umontreal.ca","The international airport nearest to the umontreal.ca largest campus is Pierre Elliott Trudeau International Airport. Its IATA code is YUL.","YUL"
"unc.edu","The nearest international airport to the UNC.edu largest campus would be the Raleigh-Durham International Airport (RDU) with the 3-letter IATA code RDU.","RDU"
"uncc.edu","The nearest international airport to the largest campus of uncc.edu is CLT.","CLT"
"uni-bonn.de","The nearest international airport to the uni-bonn.de largest campus is the Cologne Bonn Airport, with the IATA code CGN.","CGN"
"uni-frankfurt.de","The nearest international airport to Uni-Frankfurt.de largest campus is Frankfurt Airport. The 3-letter IATA code for Frankfurt Airport is FRA.","FRA"
"uni-freiburg.de","FRA","FRA"
"uni-goettingen.de","The 3-letter IATA code of the international airport nearest to the main campus of the University of Göttingen is HAJ, which stands for the airport in Hanover, Germany.","HAJ"
"uni-heidelberg.de","The closest international airport to the largest campus of the University of Heidelberg (uni-heidelberg.de) is the Frankfurt Airport (FRA) which is the nearest international airport to the campus.","FRA"
"uni-kassel.de","The nearest international airport to Uni-Kassel's largest campus is Frankfurt Airport (FRA).","FRA"
"uni-koeln.de","The international airport nearest to the largest campus of uni-koeln.de is Cologne Bonn Airport (CGN).","CGN"
"uni-konstanz.de","The 3-letter IATA code for the nearest international airport to uni-kosntanz.de largest campus is DRS, which is for the Dresden International Airport.","DRS"
"uni-muenchen.de","The nearest international airport to the uni-muenchen.de largest campus is Munich Airport, which has the IATA code MUC.","MUC"
"uni-muenster.de","The nearest international airport to the largest campus of uni-muenster.de is FMO.","FMO"
"uni-saarland.de","The international airport nearest to the largest campus of uni-saarland.de is Frankfurt Airport (FRA).","FRA"
"uni-siegen.de","The international airport nearest to the largest campus of uni-siegen.de is CGN International Airport, with the IATA code CGN.","CGN"
"uni-stuttgart.de","The nearest international airport to Uni Stuttgart's largest campus would be Stuttgart Airport (STR).","STR"
"uni-tuebingen.de","STR","STR"
"uni-wuerzburg.de","The nearest international airport to the largest campus of Uni-Würzburg.de is the Frankfurt Airport, which has the IATA code of FRA.","FRA"
"uni.lu","The Luxembourg University's largest campus is closer to Luxembourg Findel International Airport. The IATA code for Luxembourg Findel International Airport is LUX.","LUX"
"unibas.ch","EAP","EAP"
"unibo.it","The nearest international airport to the largest campus of unibo.it is Bologna Guglielmo Marconi Airport. The airport's IATA code is BLQ.","BLQ"
"unice.fr","The international airport nearest to unice.fr largest campus is Nice Côte d'Azur Airport (NCE).","NCE"
"unifi.it","FIW","FIW"
"unige.ch","The nearest international airport to the largest campus of unige.ch is Geneva Cointrin International Airport, which is represented by the 3-letter IATA code ""GVA"".","GVA"
"unimelb.edu","The international airport nearest to the largest campus of unimelb.edu is the Melbourne Airport (MEL).","MEL"
"unimelb.edu.au","MEL (Melbourne Airport)","MEL"
"unimib.it","The nearest international airport to the largest campus of unimib.it is Linate Airport (LIN).","LIN"
"unipd.it","The nearest international airport to the largest campus of unipd.it is Venice Marco Polo Airport (VCE).","VCE"
"unipi.it","3-letter IATA code for the international airport nearest to the largest UNIPI.IT campus is PSA (Pisa International Airport).","PSA"
"uniroma1.it","The international airport nearest to the Uniroma1.it largest campus is FCO (Fiumicino Leonardo da Vinci International Airport).","FCO"
"unitn.it","VRN","VRN"
"unito.it","The nearest international airport to the Unito.it largest campus is the Turin Airport (TRN).","TRN"
"univ-cotedazur.fr","NCE.","NCE"
"univ-gustave-eiffel.fr","The nearest international airport to the Univ-Gustave-Eiffel.fr largest campus is Charles de Gaulle Airport located in Paris, France, with the IATA code CDG.","CDG"
"univ-lyon1.fr","The international airport nearest to the largest campus of the univ-lyon1.fr is LYS, which is the code for Lyon-Saint Exupéry Airport.","LYS"
"univ-rennes1.fr","The international airport that is nearest to the univ-rennes1.fr largest campus is RNS (Rennes–Saint-Jacques Airport)","RNS"
"univ-st-etienne.fr","The nearest international airport to the largest campus of univ-st-etienne.fr is the Lyon-Saint Exupéry Airport.
The 3-letter IATA code for Lyon-Saint Exupéry Airport is LYS.","LYS"
"univ-tlse3.fr","The Toulouse Blagnac Airport (TLS) is the nearest international airport to the largest campus of univ-tlse3.fr.","TLS"
"univ-ubs.fr","CDG","CDG"
"universalvillage.org","The nearest international airport to the universalvillage.org largest campus is ABC International Airport with the 3-letter IATA code of ""ABC"".","ABC"
"universite-paris-saclay.fr","ORY","ORY"
"univie.ac.at","The international airport nearest to the largest campus of the univie.ac.at is Vienna International Airport (VIE).","VIE"
"unl.edu","The international airport that is nearest to unl.edu's largest campus is Eppley Airfield in Omaha, Nebraska (OMA).","OMA"
"uns.ac.rs","BEG","BEG"
"unsw.edu.au","The nearest international airport to the largest UNSW campus, Kensington, is Sydney Airport. The three-letter IATA code for Sydney Airport is SYD.","SYD"
"uoguelph.ca","Toronto Pearson International Airport is the nearest international airport to the uoguelph.ca largest campus with the IATA code YYZ.","YYZ"
"uottawa.ca","The International airport nearest to the University of Ottawa's largest campus would be the Ottawa Macdonald-Cartier International Airport. The 3-letter IATA code for that airport is YOW.","YOW"
"up.pt","Lisboa Airport (LIS), also known as Humberto Delgado Airport, is the international airport nearest to the largest campus of the University of Porto (up.pt).","LIS"
"upb.de","The closest international airport to the largest campus of upb.de is DTM, which is the IATA code for Dortmund Airport.","DTM"
"upenn.edu","The nearest airport to the largest campus of the University of Pennsylvania's (upenn.edu) international airport is the Philadelphia International Airport (PHL).","PHL"
"upf.edu","The nearest international airport to the largest campus of UPF (Universitat Pompeu Fabra) is Barcelona-El Prat Airport (BCN).","BCN"
"upmc.fr","CDG (Charles de Gaulle Airport) or ORY (Orly Airport)","CDG"
"uq.edu.au","Brisbane International Airport (BNE) would be the nearest airport to UQ's largest campus.","BNE"
"uqam.ca","The international airport nearest to the largest campus of the Université du Québec à Montréal (UQAM) is the Montréal-Pierre Elliott Trudeau International Airport (YUL). Its 3-letter IATA code is YUL.","YUL"
"usc.edu","LAX","LAX"
"usf.edu","TPA","TPA"
"usi.ch","The nearest international airport to the USI.ch largest campus is Lugano Airport (LUG).","LUG"
"ust.edu.hk","The nearest international airport to the largest campus of UST is the Hong Kong International Airport. Its 3-letter IATA code is HKG.","HKG"
"ust.hk","The international airport nearest to the HKUST (The Hong Kong University of Science and Technology) largest campus is HKG (Hong Kong International Airport).","HKG"
"ustc.edu","Hefei Xinqiao International Airport is the nearest airport to the ustc.edu largest campus. It has the IATA code ""HFE.""","HFE"
"ustc.edu.cn","The nearest international airport to the largest campus of ustc.edu.cn is the Hefei Xinqiao International Airport (HFE).","HFE"
"usyd.edu.au","SYD (Sydney Kingsford-Smith Airport)","SYD"
"ut-capitole.fr","TLS","TLS"
"ut.ac.ir","Tehran Imam Khomeini International Airport (IKA) is the closest international airport to the largest campus of the University of Tehran (ut.ac.ir).","IKA"
"utah.edu","The nearest international airport to the University of Utah's largest campus is Salt Lake City International Airport (SLC).","SLC"
"utdallas.edu","The nearest international airport to the UTDallas.edu largest campus is the Dallas/Fort Worth International Airport (DFW). Its IATA code is DFW.","DFW"
"utexas.edu","AUS","AUS"
"utoronto.ca","The nearest international airport to the University of Toronto's largest campus in downtown Toronto is Toronto Pearson International Airport (YYZ).","YYZ"
"uts.edu.au","The nearest international airport to the UTS (University of Technology Sydney) largest campus is Sydney Airport (SYD).","SYD"
"utulsa.edu","The nearest international airport to the University of Tulsa's largest campus is Tulsa International Airport with the IATA code ""TUL"".","TUL"
"utwente.nl","The international airport nearest to the UTwente.nl largest campus is the AMS airport with the 3-letter IATA code.","AMS"
"uu.se","ARN","ARN"
"uva.nl","The nearest international airport to the largest campus of UvA is Amsterdam Airport Schiphol. Its IATA code is AMS.","AMS"
"uw.edu","The international airport nearest to the uw.edu largest campus is SEA (Seattle-Tacoma International Airport).","SEA"
"uw.edu.pl","WAR","WAR"
"uwa.edu.au","The nearest international airport to the UWA.edu.au largest campus is the Perth International Airport (PER). (IATA code: PER).","PER"
"uwaterloo.ca","The international airport nearest to the uwaterloo.ca largest campus is the Toronto Pearson International Airport in Toronto, with the IATA code YYZ.","YYZ"
"uwo.ca","The nearest international airport to the UWO (University of Western Ontario) largest campus is YXU.","YXU"
"uzh.ch","Zurich Airport (ZRH)","ZRH"
"valeo.com","The nearest international airport to the largest Valeo.com campus is Paris Charles de Gaulle Airport. The IATA code for Paris Charles de Gaulle Airport is CDG.","CDG"
"vanderbilt.edu","The nearest international airport to the Vanderbilt University largest campus, located in Nashville, Tennessee, is BNA, which is the code for Nashville International Airport.","BNA"
"vectorinstitute.ai","The Lester B. Pearson International Airport, also known as Toronto Pearson International Airport, with the IATA code YYZ, is the nearest international airport to the largest campus of the Vector Institute.","YYZ"
"verses.ai","SYD","SYD"
"vinai.io","The Fort Lauderdale-Hollywood International Airport (FLL) is the nearest international airport to the vinai.io largest campus.","FLL"
"virginia.edu","CHO","CHO"
"visa.com","The nearest international airport to Visa's largest campus is SFO (San Francisco International Airport), with the 3-letter IATA code SFO.","SFO"
"vistec.ac.th","BKK","BKK"
"vivo.com","The nearest international airport to the vivo.com largest campus is BOM, which stands for Chhatrapati Shivaji Maharaj International Airport in Mumbai, India.","BOM"
"voxelai.com","The nearest international airport to voxelai.com largest campus is SFO, which is the code for San Francisco International Airport.","SFO"
"vt.edu","    The nearest international airport to the largest campus of vt.edu would be Roanoke-Blacksburg Regional Airport (ROA), with the 3-letter IATA code ""ROA"".","ROA"
"vu.nl","The nearest international airport to the vu.nl largest campus is Amsterdam Airport Schiphol. The IATA code for this airport is AMS.","AMS"
"vub.ac.be","The nearest international airport to the largest campus of Vrije Universiteit Brussel (vub.ac.be) is Brussels Airport, which has the IATA code BRU.","BRU"
"vub.be","The nearest international airport to the largest campus of Vrije Universiteit Brussel (vub.be) is the Brussels Airport (BRU), which has a 3-letter IATA code of BRU.","BRU"
"waabi.ai","The nearest international airport to waabi.ai largest campus is Toronto Pearson International Airport (YYZ).","YYZ"
"walmartlabs.com","The international airport nearest to the largest Walmart Labs campus, which is in the United States, is the San Francisco International Airport (SFO). The corresponding 3-letter IATA code is-SFO.","SFO"
"warwick.ac.uk","The nearest international airport to the warwick.ac.uk largest campus is Birmingham Airport (BHX).","BHX"
"washington.edu","The international airport nearest the largest Washington University (washington.edu) campus is SEA (Seattle-Tacoma International Airport).","SEA"
"wayne.edu","The nearest international airport to the Wayne State University's largest campus in Detroit, Michigan, is Detroit Metropolitan Wayne County Airport (DTW).","DTW"
"wdc.com","The international airport nearest to the wtc.com largest campus is the Washington Dulles International Airport (IAD).","IAD"
"weizmann.ac.il","The nearest international airport to the weizmann.ac.il campus is the Ben Gurion International Airport (TLV).","TLV"
"westlake.edu","LAX","LAX"
"westlake.edu.cn","LAX is the nearest international airport to the largest campus of westlake.edu.cn, with the IATA code of LAX.","LAX"
"wfu.edu","PTI - Piedmont Triad International Airport.","PTI"
"whu.edu.cn","The nearest international airport to the largest campus of whu.edu.cn is Tianhe International Airport (WUH).","WUH"
"wisc.edu","The nearest international airport to the largest campus of the University of Wisconsin-Madison (wisc.edu) is the Dane County Regional Airport (MSN) located in Madison, Wisconsin.","MSN"
"wits.ac.za","The closest international airport to the largest campus of the University of the Witwatersrand in Johannesburg, South Africa is the O.R. Tambo International Airport, which has the IATA code JNB.","JNB"
"wm.edu","          The nearest international airport to wm.edu's largest campus is RIC (Richmond International Airport).","RIC"
"woven-planet.global","The nearest international airport to the woven-planet.global largest campus is Ngurah Rai International Airport (DPS).","DPS"
"wsu.edu","The nearest international airport to the largest campus of Washington State University (wsu.edu) is the Pullman-Moscow Regional Airport (PUW).","PUW"
"wustl.edu","STL","STL"
"xiaohongshu.com","The nearest airport to xiaohongshu.com's largest campus is the Shanghai Pudong International Airport (PVG).","PVG"
"xidian.edu","The international airport nearest to the largest campus of Xidian University is the Xi'an Xianyang International Airport (XIY).","XIY"
"xidian.edu.cn","The nearest international airport to the xidian.edu.cn largest campus is Xianyang International Airport, with the IATA code: XIY.","XIY"
"xjtu.edu","XIY
The nearest international airport to the largest campus of xjtu.edu is Xi'an Xianyang International Airport (XIY).","XIY"
"xjtu.edu.cn","The nearest international airport to the xjtu.edu.cn largest campus is Xi'an Xianyang International Airport. Its IATA code is XIY.","XIY"
"xmu.edu.cn","The nearest international airport to xmu.edu.cn largest campus is Gaoqi International Airport (XMN).","XMN"
"yale.edu","BDL (Bradley International Airport)","BDL"
"yandex-team.ru","The Sheremetyevo International Airport (SVO) is the nearest international airport to the Yandex campus.","SVO"
"yonsei.ac.kr","ICN","ICN"
"zaheer.ml","The international airport nearest to the zaheer.ml largest campus is Manchester Airport (MAN).","MAN"
"zhejianglab.com","The international airport nearest to the Zhejianglab.com largest campus is the Xiaoshan International Airport (HGH).","HGH"
"zhipuai.cn","The international airport nearest to zhipuai.cn's biggest campus is PUY, which stands for Pula Airport in Pula, Croatia.","PUY"
"zib.de","The international airport closest to the ZIB.de largest campus would be Berlin Brandenburg Airport (BER).","BER"
"zju.edu.cn","HGH","HGH"
"zoom.us","The nearest international airport to the zoom.us largest campus is the SFO airport, which has the 3-letter IATA code SFO.","SFO"
